Item,Description,Proper,Vender Desc,UM,UL,Crew,Output,Material,Labor,Equipment,Total
32-31-13-00-8735,"Chain link gate, swing, VC, 7' high, double, 14' wide",               14' wide,"Chain link gate, swing, VC, 7' high, double, 14' wide",EA,5.333,LAB,1.5,1619.2,413.6,,"$2,032.80"
32-31-13-00-8740,"Chain link gate, swing, VC, 7' high, double, 16' wide",               16' wide,"Chain link gate, swing, VC, 7' high, double, 16' wide",EA,5.333,LAB,1.5,1733.6,413.6,,"$2,147.20"
32-31-13-00-8745,"Chain link gate, swing, VC, 7' high, double, 18' wide",               18' wide,"Chain link gate, swing, VC, 7' high, double, 18' wide",EA,6.4,LAB,1.25,1839.2,492.8,,"$2,332.00"
32-31-13-00-8750,"Chain link gate, swing, VC, 7' high, double, 20' wide",               20' wide,"Chain link gate, swing, VC, 7' high, double, 20' wide",EA,6.4,LAB,1.25,1953.6,492.8,,"$2,446.40"
32-31-13-00-8755,"Chain link gate, swing, VC, 7' high, double, 22' wide",               22' wide,"Chain link gate, swing, VC, 7' high, double, 22' wide",EA,6.4,LAB,1.25,2068,492.8,,"$2,560.80"
32-31-13-00-8760,"Chain link gate, swing, VC, 7' high, double, 24' wide",               24' wide,"Chain link gate, swing, VC, 7' high, double, 24' wide",EA,8,LAB,1,2217.6,616,,"$2,833.60"
32-31-13-00-8765,"Chain link gate, swing, VC, 7' high, double, 26' wide",               26' wide,"Chain link gate, swing, VC, 7' high, double, 26' wide",EA,8,LAB,1,2367.2,616,,"$2,983.20"
32-31-13-00-8770,"Chain link gate, swing, VC, 7' high, double, 28' wide",               28' wide,"Chain link gate, swing, VC, 7' high, double, 28' wide",EA,10,LAB,0.8,2490.4,774.4,,"$3,264.80"
32-31-13-00-8775,"Chain link gate, swing, VC, 7' high, double, 30' wide",               30' wide,"Chain link gate, swing, VC, 7' high, double, 30' wide",EA,10,LAB,0.8,2851.2,774.4,,"$3,625.60"
32-31-13-00-8780,         8' high,         8' high,,,,,,,,,
32-31-13-00-8783,            Single gate,            Single gate,,,,,,,,,
32-31-13-00-8785,"Chain link gate, swing, VC, 8' high, single, 3' wide",               3' wide,"Chain link gate, swing, VC, 8' high, single, 3' wide",EA,4,LAB,2,598.4,308,,$906.40
32-31-13-00-8790,"Chain link gate, swing, VC, 8' high, single, 4' wide",               4' wide,"Chain link gate, swing, VC, 8' high, single, 4' wide",EA,4,LAB,2,642.4,308,,$950.40
32-31-13-00-8793,            Double gate,            Double gate,,,,,,,,,
32-31-13-00-8795,"Chain link gate, swing, VC, 8' high, double, 10' wide",               10' wide,"Chain link gate, swing, VC, 8' high, double, 10' wide",EA,5.333,LAB,1.5,1566.4,413.6,,"$1,980.00"
32-31-13-00-8800,"Chain link gate, swing, VC, 8' high, double, 12' wide",               12' wide,"Chain link gate, swing, VC, 8' high, double, 12' wide",EA,5.333,LAB,1.5,1663.2,413.6,,"$2,076.80"
32-31-13-00-8805,"Chain link gate, swing, VC, 8' high, double, 14' wide",               14' wide,"Chain link gate, swing, VC, 8' high, double, 14' wide",EA,5.333,LAB,1.5,1786.4,413.6,,"$2,200.00"
32-31-13-00-8810,"Chain link gate, swing, VC, 8' high, double, 16' wide",               16' wide,"Chain link gate, swing, VC, 8' high, double, 16' wide",EA,5.333,LAB,1.5,1962.4,413.6,,"$2,376.00"
32-31-13-00-8815,"Chain link gate, swing, VC, 8' high, double, 18' wide",               18' wide,"Chain link gate, swing, VC, 8' high, double, 18' wide",EA,6.4,LAB,1.25,2041.6,492.8,,"$2,534.40"
32-31-13-00-8820,"Chain link gate, swing, VC, 8' high, double, 20' wide",               20' wide,"Chain link gate, swing, VC, 8' high, double, 20' wide",EA,6.4,LAB,1.25,2112,492.8,,"$2,604.80"
32-31-13-00-8825,"Chain link gate, swing, VC, 8' high, double, 22' wide",               22' wide,"Chain link gate, swing, VC, 8' high, double, 22' wide",EA,6.4,LAB,1.25,2235.2,492.8,,"$2,728.00"
32-31-13-00-8830,"Chain link gate, swing, VC, 8' high, double, 24' wide",               24' wide,"Chain link gate, swing, VC, 8' high, double, 24' wide",EA,8,LAB,1,2481.6,616,,"$3,097.60"
32-31-13-00-8835,"Chain link gate, swing, VC, 8' high, double, 26' wide",               26' wide,"Chain link gate, swing, VC, 8' high, double, 26' wide",EA,8,LAB,1,2560.8,616,,"$3,176.80"
32-31-13-00-8840,"Chain link gate, swing, VC, 8' high, double, 28' wide",               28' wide,"Chain link gate, swing, VC, 8' high, double, 28' wide",EA,10,LAB,0.8,2719.2,774.4,,"$3,493.60"
32-31-13-00-8845,"Chain link gate, swing, VC, 8' high, double, 30' wide",               30' wide,"Chain link gate, swing, VC, 8' high, double, 30' wide",EA,10,LAB,0.8,2992,774.4,,"$3,766.40"
32-31-13-00-8900,"Chain link gate, motor operator for gates, no wiring","      Motor operator for gates, no wiring","Chain link gate, motor operator for gates, no wiring",EA,,,,,,,"$6,300.80"
32-31-13-00-8920,      Powder coating metal fence,      Powder coating metal fence,,,,,,,,,
32-31-13-00-8923,"Powder coating metal fence, min.",            Minimum,"Powder coating metal fence, min.",SF,,,,,,,$6.29
32-31-13-00-8926,"Powder coating metal fence, avg.",            Average,"Powder coating metal fence, avg.",SF,,,,,,,$8.18
32-31-13-00-8929,"Powder coating metal fence, max.",            Maximum,"Powder coating metal fence, max.",SF,,,,,,,$10.12
32-31-13-00-8930,"Chain link fence, add 100% to material for For 1"" mesh","      For 1"" mesh, add to material price 100%","Chain link fence, add 100% to material for For 1"" mesh",SF,,,,,,,
32-31-13-00-9000,      Drilling fence post holes,      Drilling fence post holes,,,,,,,,,
32-31-13-00-9010,         In soil,         In soil,,,,,,,,,
32-31-13-00-9020,"CL fence, drilling post holes, soil, auger, by hand",               By hand,"CL fence, drilling post holes, soil, auger, by hand",EA,0.4,LAB,20,,31.02,,$31.02
32-31-13-00-9030,"CL fence, drilling post holes, soil, auger, by machine",               By machine auger,"CL fence, drilling post holes, soil, auger, by machine",EA,0.2,A4,40,,15.4,4.73,$20.13
32-31-13-00-9050,         In rock,         In rock,,,,,,,,,
32-31-13-00-9060,"CL fence, drilling post holes, rock, by jackhammer",               By jackhammer,"CL fence, drilling post holes, rock, by jackhammer",EA,2.667,A4,3,,202.4,63.36,$265.76
32-31-13-00-9070,"CL fence, drilling post holes, rock, by rock drill",               By rock drill,"CL fence, drilling post holes, rock, by rock drill",EA,0.8,A4,10,,61.6,18.92,$80.52
32-31-13-00-9079,"      Privacy slats, installed vertically","      Privacy slats, installed vertically",,,,,,,,,
32-31-13-00-9080,"Chain link fence, privacy insert, vinyl","         Vinyl plastic, 2"" mesh","Chain link fence, privacy insert, vinyl",SF,0.02,LAB,400,2.52,1.55,,$4.07
32-31-13-00-9081,"Chain link fence, 1"" mesh","               1"" mesh","Chain link fence, 1"" mesh",SF,0.029,LAB,275,5.03,2.25,,$7.29
32-31-13-00-9100,"Aluminum privacy slats, installed vertically on","      Aluminum privacy slats, installed vertically","Aluminum privacy slats, installed vertically on",SF,0.02,LAB,400,1.24,1.55,,$2.79
32-31-13-00-9120,"Post hole, dig by hand","      Post hole, dig by hand","Post hole, dig by hand",EA,0.533,LAB,15,,41.36,,$41.36
32-31-13-00-9130,Set fence post in concrete,      Set fence post in concrete,Set fence post in concrete,EA,0.4,LAB,20,12.32,31.02,,$43.34
32-31-29,WOOD FENCE,WOOD FENCE,WOOD FENCE,,,,,,,,
32-31-29-00-0100,"      4x4 posts w/2x4 horizontals, 4' -8' high","      4x4 posts w/2x4 horizontals, 4' -8' high",,,,,,,,,
32-31-29-00-0110,"8' Wood fence, incl posts and horizontals, cedar, 1x4 planks, picket","          Cedar, 1x4 planks, picket","8' Wood fence, incl posts and horizontals, cedar, 1x4 planks, picket",SF,0.02,LAB,400,3.38,1.55,,$4.93
32-31-29-00-0120,"8' Wood fence, incl posts and horizontals, cedar, 1x6 planks, privacy","               1x6 planks, privacy","8' Wood fence, incl posts and horizontals, cedar, 1x6 planks, privacy",SF,0.016,LAB,500,5.36,1.23,,$6.59
32-31-29-00-0130,"8' Wood fence, incl posts and horizontals, cedar, 1x8 planks, privacy","               1x8 planks, privacy","8' Wood fence, incl posts and horizontals, cedar, 1x8 planks, privacy",SF,0.015,LAB,550,4.89,1.13,,$6.02
32-31-29-00-0140,"8' Wood fence, incl posts and horizontals,  redwood, 1x4 planks, picket","          Redwood, 1x4 planks, picket","8' Wood fence, incl posts and horizontals,  redwood, 1x4 planks, picket",SF,0.02,LAB,400,2.75,1.55,,$4.29
32-31-29-00-0150,"8' Wood fence, incl posts and horizontals, redwood, 1x6 planks, privacy","               1x6 planks, privacy","8' Wood fence, incl posts and horizontals, redwood, 1x6 planks, privacy",SF,0.016,LAB,500,5.09,1.23,,$6.32
32-31-29-00-0160,"8' Wood fence, incl posts and horizontals, redwood, 1x8 planks",               1x8 planks,"8' Wood fence, incl posts and horizontals, redwood, 1x8 planks",SF,0.015,LAB,550,4.44,1.13,,$5.56
32-31-29-00-0170,"8' Wood fence, incl posts and horizontals, treated pine, 1x4 planks, picket","          Treated pine, 1x4 planks, picket","8' Wood fence, incl posts and horizontals, treated pine, 1x4 planks, picket",SF,0.02,LAB,400,2.7,1.55,,$4.25
32-31-29-00-0180,"8' Wood fence, incl posts and horizontals, treated pine, 1x6 planks, privacy","               1x6 planks, privacy","8' Wood fence, incl posts and horizontals, treated pine, 1x6 planks, privacy",SF,0.016,LAB,500,2.65,1.23,,$3.88
32-31-29-00-0190,"8' Wood fence, incl posts and horizontals, treated pine, 1x8 planks, privacy","               1x8 planks, privacy","8' Wood fence, incl posts and horizontals, treated pine, 1x8 planks, privacy",SF,0.015,LAB,550,2.59,1.13,,$3.71
32-31-29-00-0200,      4' high,      4' high,,,,,,,,,
32-31-29-00-0210,"Fence Composite, 1x4 planks, picket to 24' high","          Composite, 1x4 planks, picket","Fence Composite, 1x4 planks, picket to 24' high",SF,0.025,LAB,320,2.96,1.94,,$4.89
32-31-29-00-0220,"Fence Composite, 1x6 planks, picket to 24' high, privacy","               1x6 planks, privacy","Fence Composite, 1x6 planks, picket to 24' high, privacy",SF,0.02,LAB,400,5.09,1.55,,$6.64
32-31-29-00-0230,"Fence Composite, 1x8 planks, picket to 24' high, privacy",               1x8 planks,"Fence Composite, 1x8 planks, picket to 24' high, privacy",SF,0.017,LAB,480,4.44,1.28,,$5.72
32-31-29-00-0240,"Fence, Vinyl, 1x4 planks, picket to 24' high","          Vinyl, 1x4 planks, picket","Fence, Vinyl, 1x4 planks, picket to 24' high",SF,0.025,LAB,320,2.65,1.94,,$4.58
32-31-29-00-0250,"Fence, Vinyl, 1x6 planks, picket to 24' high privacy","               1x6 planks, privacy","Fence, Vinyl, 1x6 planks, picket to 24' high privacy",SF,0.02,LAB,400,4.68,1.55,,$6.23
32-31-29-00-0260,"Fence, Vinyl, 1x8 planks, picket to 24' high privacy","               1x8 planks, privacy","Fence, Vinyl, 1x8 planks, picket to 24' high privacy",SF,0.017,LAB,480,4.61,1.28,,$5.90
32-31-29-00-0270,"Gate, cedar or redwood, 3' w, 1x4 planks, picket","          Gate, cedar or redwood, 3' w, 1x4 planks, picket","Gate, cedar or redwood, 3' w, 1x4 planks, picket",EA,0.667,LAB,12,46.64,51.92,,$98.56
32-31-29-00-0280,"Gate, cedar or redwood, 3' w, 1x6 planks, picket1x6, privacy","               1x6 planks, privacy","Gate, cedar or redwood, 3' w, 1x6 planks, picket1x6, privacy",EA,0.8,LAB,10,123.2,61.6,,$184.80
32-31-29-00-0290,"Gate, cedar or redwood, 3' w, 1x8 planks, picket1x6, privacy","               1x8 planks, privacy","Gate, cedar or redwood, 3' w, 1x8 planks, picket1x6, privacy",EA,0.889,LAB,9,149.6,68.64,,$218.24
32-31-90-10,SHRUB & TREE MAINTENANCE,SHRUB & TREE MAINTENANCE,SHRUB & TREE MAINTENANCE,,,,,,,,
32-31-90-10-1000,      Moving shrubs on site,      Moving shrubs on site,,,,,,,,,
32-31-90-10-1020,"Moving shrubs on site, 12"" ball","               12"" ball","Moving shrubs on site, 12"" ball",EA,1,LAB,8,,77.44,,$77.44
32-31-90-10-1040,"Moving shrubs on site, 24"" ball","               24"" ball","Moving shrubs on site, 24"" ball",EA,1.333,LAB,6,,105.6,,$105.60
32-31-90-10-1220,"Moving shrubs on site, 3' high",               3' high,"Moving shrubs on site, 3' high",EA,0.8,LAB,10,,61.6,,$61.60
32-31-90-10-1240,"Moving shrubs on site, 4' high",               4' high,"Moving shrubs on site, 4' high",EA,0.889,LAB,9,,68.64,,$68.64
32-31-90-10-1260,"Moving shrubs on site, 5' high",               5' high,"Moving shrubs on site, 5' high",EA,1,LAB,8,,77.44,,$77.44
32-31-90-10-1280,"Moving shrubs on site, 18"" spread","               18"" spread","Moving shrubs on site, 18"" spread",EA,1.143,LAB,7,,88.88,,$88.88
32-31-90-10-1300,"Moving shrubs on site, 30"" spread","               30"" spread","Moving shrubs on site, 30"" spread",EA,1.333,LAB,6,,105.6,,$105.60
32-31-90-10-2000,      Moving trees on site,      Moving trees on site,,,,,,,,,
32-31-90-10-2020,"Moving trees on site, 24"" ball","               24"" ball","Moving trees on site, 24"" ball",EA,1.2,A1,20,,96.8,70.4,$167.20
32-31-90-10-2040,"Moving trees on site, 48"" ball","               48"" ball","Moving trees on site, 48"" ball",EA,1.6,A1,15,,123.2,96.8,$220.00
32-31-90-10-3020,            Trees,            Trees,,,,,,,,,
32-31-90-10-3040,"Trees, 3' high",               3' high,"Trees, 3' high",EA,0.48,A1,50,,36.96,28.16,$65.12
32-31-90-10-3060,"Trees, 6' high",               6' high,"Trees, 6' high",EA,0.533,A1,45,,41.14,31.24,$72.38
32-31-90-10-3080,"Trees, 8' high",               8' high,"Trees, 8' high",EA,0.6,A1,40,,46.64,35.2,$81.84
32-31-90-10-3100,"Trees, 10' high",               10' high,"Trees, 10' high",EA,0.8,A1,30,,61.6,46.64,$108.24
32-31-90-10-3110,            Palm trees,            Palm trees,,,,,,,,,
32-31-90-10-3120,"Palm trees, 7' high",               7' high,"Palm trees, 7' high",EA,0.6,A1,40,,46.64,35.2,$81.84
32-31-90-10-3140,"Palm trees, 10' high",               10' high,"Palm trees, 10' high",EA,0.8,A1,30,,61.6,46.64,$108.24
32-31-90-10-3142,"Palm trees, 20' high",               20' high,"Palm trees, 20' high",EA,2.4,A1,10,,184.8,140.8,$325.60
32-31-90-10-3144,"Palm trees, 40' high",               40' high,"Palm trees, 40' high",EA,4.8,A1,5,,369.6,281.6,$651.20
32-31-90-10-3148,            Guying trees,            Guying trees,,,,,,,,,
32-31-90-10-3150,"Guying trees, 4"" dia","               4"" dia.","Guying trees, 4"" dia",EA,0.4,LAB,20,28.6,31.02,,$59.62
32-31-90-10-3160,"Guying trees, 8"" dia","               8"" dia.","Guying trees, 8"" dia",EA,0.5,LAB,16,51.04,38.72,,$89.76
32-31-90-20,FERTILIZING,FERTILIZING,FERTILIZING,,,,,,,,
32-31-90-20-0080,      Fertilizing (23#/1000 sf),      Fertilizing (23#/1000 sf),,,,,,,,,
32-31-90-20-0100,"Fertilizing (23#/1000 sf), by square yard",               By square yard,"Fertilizing (23#/1000 sf), by square yard",SY,0.002,A4,4000,0.04,0.15,0.04,$0.24
32-31-90-20-0120,"Fertilizing (23#/1000 sf), by acre",               By acre,"Fertilizing (23#/1000 sf), by acre",ACRE,10,A4,0.8,220,774.4,237.6,"$1,232.00"
32-31-90-20-2980,      Liming (70#/1000 sf),      Liming (70#/1000 sf),,,,,,,,,
32-31-90-20-3000,"Liming (70#/1000 sf), by square yard",               By square yard,"Liming (70#/1000 sf), by square yard",SY,0.003,A4,3000,0.05,0.2,0.06,$0.32
32-31-90-20-3020,"Liming (70#/1000 sf), by acre",               By acre,"Liming (70#/1000 sf), by acre",ACRE,13.333,A4,0.6,228.8,1029.6,316.8,"$1,575.20"
32-31-90-30,WEED CONTROL,WEED CONTROL,WEED CONTROL,,,,,,,,
32-31-90-30-1000,"Weed control, bromicil, 15 lb./acre, wettable po","      Weed control, bromicil, 15 lb./acre, wettable powder","Weed control, bromicil, 15 lb./acre, wettable po",ACRE,4,LAB,2,343.2,308,,$651.20
32-31-90-30-1100,"Vegetation control, by application of plant kill","      Vegetation control, by application of plant killer","Vegetation control, by application of plant kill",SY,0.003,LAB,2500,0.03,0.25,,$0.27
32-31-90-30-1200,"Weed killer, lawns and fields","               Weed killer, lawns and fields","Weed killer, lawns and fields",SY,0.002,LAB,5000,0.29,0.12,,$0.41
32-84,PLANTING IRRIGATION,PLANTING IRRIGATION,PLANTING IRRIGATION,,,,,,,,
32-84-40,LAWN IRRIGATION,LAWN IRRIGATION,LAWN IRRIGATION,,,,,,,,
32-84-00-40-0480,"   Residential system, complete","   Residential system, complete",,,,,,,,,
32-84-00-40-0490,"Lawn irrigation, residential, complete, min",               Minimum,"Lawn irrigation, residential, complete, min",ACRE,,,,,,,"$25,018.40"
32-84-00-40-0520,"Lawn irrigation, residential, complete, max",               Maximum,"Lawn irrigation, residential, complete, max",ACRE,,,,,,,"$47,625.60"
32-84-00-40-0580,"   Commercial system, complete","   Commercial system, complete",,,,,,,,,
32-84-00-40-0600,"Lawn irrigation, commercial, complete, min",               Minimum,"Lawn irrigation, commercial, complete, min",ACRE,,,,,,,"$37,989.60"
32-84-00-40-0620,"Lawn irrigation, commercial, complete, max",               Maximum,"Lawn irrigation, commercial, complete, max",ACRE,,,,,,,"$60,051.20"
32-84-00-40-1000,   Components,   Components,,,,,,,,,
32-84-00-40-1200,      Pipe,      Pipe,,,,,,,,,
32-84-00-40-1400,"         Schedule 40, PVC","         Schedule 40, PVC",,,,,,,,,
32-84-00-40-1410,"Lawn irrigation, pipe, Sch 40, PVC, 1/2""","               1/2""","Lawn irrigation, pipe, Sch 40, PVC, 1/2""",LF,0.042,LAB,190,0.67,3.26,,$3.92
32-84-00-40-1420,"Lawn irrigation, pipe, Sch 40, PVC, 3/4""","               3/4""","Lawn irrigation, pipe, Sch 40, PVC, 3/4""",LF,0.044,LAB,180,0.96,3.44,,$4.40
32-84-00-40-1430,"Lawn irrigation, pipe, Sch 40, PVC, 1""","               1""","Lawn irrigation, pipe, Sch 40, PVC, 1""",LF,0.046,LAB,175,1.45,3.54,,$4.99
32-84-00-40-1450,"Lawn irrigation, pipe, Sch 40, PVC, 1-1/4""","               1-1/4""","Lawn irrigation, pipe, Sch 40, PVC, 1-1/4""",LF,0.046,LAB,175,1.93,3.54,,$5.46
32-84-00-40-1460,"Lawn irrigation, pipe, Sch 40, PVC, 1-1/2""","               1-1/2""","Lawn irrigation, pipe, Sch 40, PVC, 1-1/2""",LF,0.047,LAB,170,2.29,3.64,,$5.93
32-84-00-40-1470,"Lawn irrigation, pipe, Sch 40, PVC, 2""","               2""","Lawn irrigation, pipe, Sch 40, PVC, 2""",LF,0.05,LAB,160,3.37,3.87,,$7.24
32-84-00-40-1480,"Lawn irrigation, pipe, Sch 40, 2-1/2""","               2-1/2""","Lawn irrigation, pipe, Sch 40, 2-1/2""",LF,0.053,LAB,150,5.1,4.13,,$9.23
32-84-00-40-1490,"Lawn irrigation, pipe, Sch 40, PVC, 3""","               3""","Lawn irrigation, pipe, Sch 40, PVC, 3""",LF,0.057,LAB,140,6.98,4.43,,$11.40
32-84-00-40-1500,"Lawn irrigation, pipe, Sch 40, PVC, 4""","               4""","Lawn irrigation, pipe, Sch 40, PVC, 4""",LF,0.067,LAB,120,9.9,5.17,,$15.07
32-84-00-40-1510,"Lawn irrigation, pipe, Sch 40, PVC, 6""","               6""","Lawn irrigation, pipe, Sch 40, PVC, 6""",LF,0.08,LAB,100,17.38,6.2,,$23.58
